PID: 0, TP: 0, CP: 1, EP: EXECUTANDO, NES: 0, N_CPU: 0, Transição: PRONTO >>> EXECUTANDO
PID: 0, TP: 1000, CP: 1001, EP: EXECUTANDO, NES: 0, N_CPU: 1, Transição: EXECUTANDO >>> PRONTO
PID: 1, TP: 0, CP: 1, EP: EXECUTANDO, NES: 0, N_CPU: 0, Transição: PRONTO >>> EXECUTANDO
PID: 1, TP: 1000, CP: 1001, EP: EXECUTANDO, NES: 0, N_CPU: 1, Transição: EXECUTANDO >>> PRONTO
PID: 2, TP: 0, CP: 1, EP: EXECUTANDO, NES: 0, N_CPU: 0, Transição: PRONTO >>> EXECUTANDO
PID: 2, TP: 1000, CP: 1001, EP: EXECUTANDO, NES: 0, N_CPU: 1, Transição: EXECUTANDO >>> PRONTO
PID: 3, TP: 0, CP: 1, EP: EXECUTANDO, NES: 0, N_CPU: 0, Transição: PRONTO >>> EXECUTANDO
PID: 3, TP: 1000, CP: 1001, EP: EXECUTANDO, NES: 0, N_CPU: 1, Transição: EXECUTANDO >>> PRONTO
PID: 4, TP: 0, CP: 1, EP: EXECUTANDO, NES: 0, N_CPU: 0, Transição: PRONTO >>> EXECUTANDO
PID: 4, TP: 1000, CP: 1001, EP: EXECUTANDO, NES: 0, N_CPU: 1, Transição: EXECUTANDO >>> PRONTO
PID: 5, TP: 0, CP: 1, EP: EXECUTANDO, NES: 0, N_CPU: 0, Transição: PRONTO >>> EXECUTANDO
PID: 5, TP: 1000, CP: 1001, EP: EXECUTANDO, NES: 0, N_CPU: 1, Transição: EXECUTANDO >>> PRONTO
PID: 6, TP: 0, CP: 1, EP: EXECUTANDO, NES: 0, N_CPU: 0, Transição: PRONTO >>> EXECUTANDO
PID: 6, TP: 1000, CP: 1001, EP: EXECUTANDO, NES: 0, N_CPU: 1, Transição: EXECUTANDO >>> PRONTO
PID: 7, TP: 0, CP: 1, EP: EXECUTANDO, NES: 0, N_CPU: 0, Transição: PRONTO >>> EXECUTANDO
PID: 7, TP: 1000, CP: 1001, EP: EXECUTANDO, NES: 0, N_CPU: 1, Transição: EXECUTANDO >>> PRONTO
PID: 8, TP: 0, CP: 1, EP: EXECUTANDO, NES: 0, N_CPU: 0, Transição: PRONTO >>> EXECUTANDO
PID: 8, TP: 1000, CP: 1001, EP: EXECUTANDO, NES: 0, N_CPU: 1, Transição: EXECUTANDO >>> PRONTO
PID: 9, TP: 0, CP: 1, EP: EXECUTANDO, NES: 0, N_CPU: 0, Transição: PRONTO >>> EXECUTANDO
PID: 9, TP: 1000, CP: 1001, EP: EXECUTANDO, NES: 0, N_CPU: 1, Transição: EXECUTANDO >>> PRONTO
